Intent,user_query,bot_response,language,augmented
outfit_recommendation,how to style jeans for a formal interview?,Dark jeans. This creates a balanced and stylish look.,English,
outfit_recommendation,what to wear on laundry day when most clothes are dirty?,Go simple: a comfortable set (old jeans clean tee) or a casual dress you can wash easily later'accessorize to look neat.,English,
outfit_recommendation,what should i wear with jumpsuit to a date night?,A beige blazer in linen would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'emral' known for and what is the typical price range?,"Emral: Eastern pret, casuals. Typical price range 2,500-10,000.",English,
outfit_recommendation,what to wear for a rainy-day commute?,"Choose quick-dry fabrics, closed waterproof shoes or ankle boots, and a lightweight raincoat; carry an umbrella.",English,
outfit_recommendation,recommend affordable western casual brands in pakistan.,Outfitters and Breakout offer trendy western casuals at accessible prices ' good for everyday and casual outings.,English,
outfit_recommendation,dinner date outfit ideas?,Go slightly dressier: a simple dress or a smart shirt trousers combo; add subtle jewelry and polished shoes.,English,
outfit_recommendation,what should i wear with suit to a office meeting?,A lavender gown in organza would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,how to dress for a casual beach wedding?,Choose light linens. This creates a balanced and stylish look.,English,
outfit_recommendation,"would you recommend serene for someone looking for women's pret formal, soft fabrics?","I suggest Serene if you want women's pret formal, soft fabrics. Expect prices around 2,500-10,000. It's a good pick for that purpose.",English,
outfit_recommendation,what cuts suit apple-shaped body on campus?,"Choose cuts that balance proportions: A-line, V-neck, cinched waists.",English,
outfit_recommendation,how to style for a rainy commute to uni?,"Layer with a breathable waterproof jacket, quick-dry tee, and slip-resistant shoes. Use a crossbody bag to keep belongings dry.",English,
outfit_recommendation,i'm shooting a reel ' what should i wear?,Choose outfits that match your shoot's theme and lighting. Comfortable bhi rahega.,English,
outfit_recommendation,hijabi campus look that's trendy but covered?,"Play with longline cuts, clean layers, and textured fabrics for a modern modest look.",English,
outfit_recommendation,what to wear for a late-night university concert?,Pick a smart-casual look: stylish top with comfortable jeans or a midi dress; layer in case it gets chilly at night.,English,
outfit_recommendation,"i have a dawat, any outfit suggestions?",A neat kurta or a midi dress with simple accessories will work well. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with gown to a mehndi?,A white co-ord set in denim would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,help me pick an outfit for a concert.,Try smart-casual: jeans or chinos with a stylish top and comfortable shoes. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with gown to a party?,A mustard kurta in satin would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,"i'm attending a picnic, should i go casual or dressy?",A midi dress or co-ord set with low heels works well for concerts and outdoor events. Comfortable bhi rahega.,English,
outfit_recommendation,first-date outfit tips?,Comfort and confidence matter'choose something that fits well and reflects your style without overdoing it.,English,
outfit_recommendation,what should i wear with maxi dress to a brunch?,A black lehenga in velvet would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'great fabrics' known for and what is the typical price range?,"Great Fabrics: Premium fabrics, eastern. Typical price range 3,000-20,000.",English,
outfit_recommendation,what should i wear with blazer to a interview?,A peach lehenga in georgette would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'blanche fashion' known for and what is the typical price range?,"Blanche Fashion: Semi-formal pret casual. Typical price range 2,500-10,000.",English,
outfit_recommendation,what is 'alizeh fashion' known for and what is the typical price range?,"Alizeh Fashion: Bridal and party eastern. Typical price range 10,000-50,000.",English,
outfit_recommendation,creating content ' what's a photogenic outfit?,Bold colors and textured fabrics photograph well ' try a co-ord or statement dress. Comfortable bhi rahega.,English,
outfit_recommendation,going to a cafe'what should i wear?,A relaxed co-ord or maxi dress works well for cafes and shopping. Comfortable bhi rahega.,English,
outfit_recommendation,would you recommend shamaeel ansari for someone looking for bridal couture party wear?,"I suggest Shamaeel Ansari if you want bridal couture party wear. Expect prices around 15,000-80,000. It's a good pick for that purpose.",English,
outfit_recommendation,"outfit suggestions for a travel, please.","A lightweight jacket over a tee and jeans is a safe, stylish choice. Comfortable bhi rahega.",English,
outfit_recommendation,what should i wear with kurta to a eid?,A lavender lehenga in georgette would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,wfh outfit that's comfortable but camera-ready?,Comfy knit or blouse in a flattering color; keep hair neat and wear subtle earrings if you want a polished look.,English,
outfit_recommendation,what to wear in heavy rain without ruining my outfit?,"Choose water-resistant outerwear (light raincoat), avoid delicate fabrics, wear waterproof shoes or boots and quick-dry layers underneath.",English,
outfit_recommendation,would you recommend vaneeza for someone looking for eastern casual formal wear?,"I suggest Vaneeza if you want eastern casual formal wear. Expect prices around 2,500-12,000. It's a good pick for that purpose.",English,
outfit_recommendation,what is 'farah talib aziz' known for and what is the typical price range?,"Farah Talib Aziz: Bridal party eastern couture. Typical price range 15,000-80,000.",English,
outfit_recommendation,suggest color combinations for a pastel pink outfit.,"White, beige, and coral contrast nicely with navy. Comfortable bhi rahega.",English,
outfit_recommendation,best pakistani brands for formal eastern wear?,Maria B and Sana Safinaz are trusted for formal eastern collections ' they offer rich fabrics and refined embroidery.,English,
outfit_recommendation,heritage day campus styling suggestions?,Wear thematic colors and safe fabrics; avoid anything that could snag or be unsafe.,English,
outfit_recommendation,"would you recommend saniya for someone looking for casual semi-formal pret, fusion style?","I suggest Saniya if you want casual semi-formal pret, fusion style. Expect prices around 2,500-8,000. It's a good pick for that purpose.",English,
outfit_recommendation,would you recommend blush by nadia for someone looking for bridal coordination eastern luxury?,"I suggest Blush by Nadia if you want bridal coordination eastern luxury. Expect prices around 15,000-70,000. It's a good pick for that purpose.",English,
outfit_recommendation,what should i wear with a sequin top for a party?,Balance sequins with plain bottoms and subtle shoes to avoid overdoing it. Comfortable too.,English,
outfit_recommendation,"would you recommend huma adnan for someone looking for fusion formal wear, light embroidery?","I suggest Huma Adnan if you want fusion formal wear, light embroidery. Expect prices around 3,000-10,000. It's a good pick for that purpose.",English,
outfit_recommendation,which pakistani brands are good for quality everyday lawn?,"Brands like Nishat Linen and Gul Ahmed are ideal for everyday lawn ' they balance quality, prints, and affordable prices.",English,
outfit_recommendation,recommend local labels for western casual wear.,"Check out Outfitters, Breakout, and Sapphire Studio for western styles. Comfortable bhi rahega.",English,
outfit_recommendation,"attending a relaxed family dinner, what should i pick?",Light layers and simple accessories work well for home gatherings. Comfortable bhi rahega.,English,
outfit_recommendation,city-friendly footwear vs rural-friendly footwear suggestions?,"Adapt fabrics/footwear to locale'breathable for cities, practical for rural terrain.",English,
outfit_recommendation,what should i wear with jumpsuit to a eid?,A navy blue blazer in chiffon would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,outfit suggestions for a casual hangout?,Jeans and a tee with comfy sneakers are great for casual days. Comfortable bhi rahega.,English,
outfit_recommendation,what is 'faiza saqlain' known for and what is the typical price range?,"Faiza Saqlain: Casual and semi-formal eastern. Typical price range 3,000-10,000.",English,
outfit_recommendation,how to look tidy when most clothes are mid-wash?,Keep a capsule of easy-care basics for emergencies and layer for neatness.,English,
outfit_recommendation,what should i wear with gown to a graduation?,A black kurta in denim would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,i'm heading out for a city walk'what to wear?,Jeans and a tee with comfy sneakers are great for casual days. Comfortable bhi rahega.,English,
outfit_recommendation,would you recommend warda for someone looking for pret casual eastern wear?,"I suggest Warda if you want pret casual eastern wear. Expect prices around 2,000-8,000. It's a good pick for that purpose.",English,
outfit_recommendation,portfolio meeting ' how to dress?,Smart-casual with creative accents: tailored trousers and a statement top. Comfortable bhi rahega.,English,
outfit_recommendation,"would you recommend ibex for someone looking for western outdoor casual, sustainable?","I suggest Ibex if you want western outdoor casual, sustainable. Expect prices around 3,000-12,000. It's a good pick for that purpose.",English,
outfit_recommendation,what is 'silayi pret' known for and what is the typical price range?,"Silayi Pret: Casual semi-formal. Typical price range 2,500-10,000.",English,
outfit_recommendation,"outfit suggestions for a picnic, please.",A midi dress or co-ord set with low heels works well for concerts and outdoor events. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with kurta to a wedding?,A pastel pink jeans in cotton would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with kurta to a graduation?,A maroon blazer in organza would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,which colors go well with mustard?,"White, beige, and coral contrast nicely with navy. Comfortable bhi rahega.",English,
outfit_recommendation,would you recommend jafferjees for someone looking for premium textiles pret?,"I suggest Jafferjees if you want premium textiles pret. Expect prices around 3,000-15,000. It's a good pick for that purpose.",English,
outfit_recommendation,what should i wear with jeans to a interview?,A black co-ord set in lawn would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with lehenga to a office meeting?,A emerald green shirt in chiffon would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,how to style cargo pants for a casual day out?,Pair cargo pants with a fitted tee and chunky sneakers for a modern casual look. Comfortable too.,English,
outfit_recommendation,what's a good look for attending a dawat?,Choose breathable fabrics and moderate accessories for comfort and style. Comfortable bhi rahega.,English,
outfit_recommendation,online lecture outfit tips?,Neutral background and contrast clothing help; avoid noisy prints and wear a neckline that frames your face well on camera.,English,
outfit_recommendation,cheap campus outfit under 1000 pkr ideas?,"Buy versatile basics, look for local market finds, and prioritize fit over brand.",English,
outfit_recommendation,how to style a co-ord set for graduation?,A neutral co-ord with a statement shoe and minimal jewelry photographs well. Comfortable too.,English,
outfit_recommendation,"would you recommend raaya for someone looking for women's pret, casual semi-formal?","I suggest Raaya if you want women's pret, casual semi-formal. Expect prices around 2,500-8,000. It's a good pick for that purpose.",English,
outfit_recommendation,"best shoes for muddy, rainy campus days?","Water-resistant outerwear, dark quick-dry fabrics, and waterproof shoes help a lot.",English,
outfit_recommendation,clothing tricks to appear slimmer on camera?,Wear a well-fitted piece you love; posture and a favorite accessory boost confidence.,English,
outfit_recommendation,what should i wear with a linen suit in summer?,"Light shirt, neutral loafers and minimal jewelry keep it cool and polished.",English,
outfit_recommendation,"would you recommend angelic for someone looking for children's fashion, ethnic modern?","I suggest Angelic if you want children's fashion, ethnic modern. Expect prices around 1,500-6,000. It's a good pick for that purpose.",English,
outfit_recommendation,which colors to avoid if i'm cool-toned?,Try tones that complement your undertone; test near natural light.,English,
outfit_recommendation,outfit for a casual day date on campus?,Comfort a touch of polish: a fitted top or neat shirt and good shoes.,English,
outfit_recommendation,what is 'gul ahmed' known for and what is the typical price range?,"Gul Ahmed: Eastern casual wear, fabrics. Typical price range 1,500-15,000.",English,
outfit_recommendation,what should i wear with maxi dress to a graduation?,A white gown in organza would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,"would you recommend sanaulla for someone looking for men's formal casual, fabrics?","I suggest Sanaulla if you want men's formal casual, fabrics. Expect prices around 2,000-10,000. It's a good pick for that purpose.",English,
outfit_recommendation,would you recommend beehive for someone looking for western casual streetwear?,"I suggest Beehive if you want western casual streetwear. Expect prices around 1,500-5,000. It's a good pick for that purpose.",English,
outfit_recommendation,how to layer for unpredictable spring weather?,"Start with a breathable base, add a light sweater and a packable waterproof layer.",English,
outfit_recommendation,how to wear a jumpsuit to a wedding rehearsal?,A tailored jumpsuit with statement earrings and block heels looks polished. Comfortable too.,English,
outfit_recommendation,what should i wear with lehenga to a mehndi?,A mustard co-ord set in georgette would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,"would you recommend nimra khan for someone looking for pret western casuals, trendy street style?","I suggest Nimra Khan if you want pret western casuals, trendy street style. Expect prices around 2,500-7,500. It's a good pick for that purpose.",English,
outfit_recommendation,what should i wear with jeans to a eid?,A navy blue suit in georgette would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what to wear with palazzo pants for a brunch?,Pair palazzo pants with a fitted top or crop blouse and wedges for balance; choose breathable fabrics.,English,
outfit_recommendation,orientation day outfit ideas?,Opt for smart-casual: a tailored denim jacket over a plain tee or a simple kurta with jeans'comfortable and presentable.,English,
outfit_recommendation,city vs small-town outfit tips?,"Adapt fabrics and footwear to the place'lighter fabrics and sandals for coastal/city heat, layered looks for cooler or formal towns.",English,
outfit_recommendation,what is 'bonanza satrangi' known for and what is the typical price range?,"Bonanza Satrangi: Eastern casual formal. Typical price range 2,000-15,000.",English,
outfit_recommendation,cute but comfortable outfit for a coffee shop date?,Comfort a touch of polish: a fitted top or neat shirt and good shoes.,English,
outfit_recommendation,quick laundry day dressing tips?,"Keep a capsule of easy-care basics for emergency outfit days: plain tees, simple trousers, and minimal accessories.",English,
outfit_recommendation,would you recommend zooni for someone looking for bridal couture eastern formal wear?,"I suggest Zooni if you want bridal couture eastern formal wear. Expect prices around 20,000-100,000. It's a good pick for that purpose.",English,
outfit_recommendation,what should i wear with shirt to a eid?,A emerald green jumpsuit in chiffon would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,startup interview outfit ideas?,"Neat, approachable look: clean shirt or blouse, dark jeans or chinos, low-profile shoes'avoid overly formal suits unless requested.",English,
outfit_recommendation,what should i wear with suit to a mehndi?,A navy blue co-ord set in linen would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with suit to a wedding?,A white maxi dress in silk would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'azzal' known for and what is the typical price range?,"AZZAL: Luxury eastern and fusion. Typical price range 15,000-60,000.",English,
outfit_recommendation,what should i wear to a picnic in the evening?,Try smart-casual: jeans or chinos with a stylish top and comfortable shoes. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with co-ord set to a office meeting?,A mustard suit in linen would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'fabiha fatima' known for and what is the typical price range?,"Fabiha Fatima: Bridal formal pret. Typical price range 10,000-60,000.",English,
outfit_recommendation,outfit to boost confidence for a presentation?,Wear a well-fitted piece you love; posture and a favorite accessory boost confidence.,English,
outfit_recommendation,"would you recommend nida azwer for someone looking for couture bridal formal, embroidery-heavy?","I suggest Nida Azwer if you want couture bridal formal, embroidery-heavy. Expect prices around 25,000-150,000. It's a good pick for that purpose.",English,
outfit_recommendation,what to wear with a pleated skirt for a presentation?,Choose a fitted blouse and low heels for a professional silhouette. Comfortable too.,English,
outfit_recommendation,tech interview casual dress advice?,Comfort neatness: clean t-shirt with blazer or tidy sweater; prioritize fit and presentability.,English,
outfit_recommendation,what is 'adan's libas' known for and what is the typical price range?,"ADAN'S LIBAS: Men's ethnic and casual. Typical price range 2,000-6,000.",English,
outfit_recommendation,what should i wear with shirt to a wedding?,A black kurta in velvet would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,going to a sports ' what should i wear?,Try smart-casual: jeans or chinos with a stylish top and comfortable shoes. Comfortable bhi rahega.,English,
outfit_recommendation,suggest accessories for a velvet lehenga.,Delicate gold or pearl jewelry complements pastels beautifully. Comfortable bhi rahega.,English,
outfit_recommendation,what should i wear with maxi dress to a eid?,A beige kurta in silk would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what should i wear with jumpsuit to a office meeting?,A peach gown in velvet would look great. Pair it with neutral heels and minimal jewelry.,English,
outfit_recommendation,what is 'sana safinaz' known for and what is the typical price range?,"Sana Safinaz: Pret formal eastern. Typical price range 3,000-60,000.",English,
outfit_recommendation,what is 'sapphire' known for and what is the typical price range?,"Sapphire: Eastern, semi-formal formal. Typical price range 3,000-20,000.",English,
outfit_recommendation,how to dress to look slimmer?,"Monochrome outfits, V-necks, and vertical elements help; choose tailor-fit rather than overly baggy pieces.",English,
outfit_recommendation,blazer ke saath eid ke liye kya pehno?,lawn ka co-ord set aur lavender warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,graduation ke liye co-ord set kaise style karun?,neutral co-ord aur statement shoes ke sath halka jewelry sahi lagega. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,jumpsuit ke saath dawaat ke liye kya pehno?,satin ka jumpsuit aur white warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,blazer ke saath interview ke liye kya pehno?,linen ka jumpsuit aur navy blue warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,shirt ke saath date night ke liye kya pehno?,velvet ka maxi dress aur black warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,online exam camera tips: top kaunsa choose karun?,solid mid-tones aur acha lighting camera pe madad karta he.,Roman Urdu,
outfit_recommendation,sustainable basics ke liye konsay brands dekho?,uniqlo aur kuch zara collections sustainable basics offer karti hen; local lines mein khaadi aur sapphire k kuch options dekho.,Roman Urdu,
outfit_recommendation,zara shahjahan ke baare mein batao 'kis style ke liye mashhoor hai aur qeemat kitni hoti hai?,"zara shahjahan: luxury formal, bridal. price generally 20,000-100,000 ke beech hoti he.",Roman Urdu,
outfit_recommendation,jumpsuit ke saath eid ke liye kya pehno?,linen ka shirt aur mustard warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,rainy day k outfit tips do.,gehre rang aur synthetic blends choose karo; chhota umbrella aur waterproof footwear rakho.,Roman Urdu,
outfit_recommendation,warm undertone hoon to kaunse colors pehnon?,"undertone ke mutabiq tones try karo, natural light mein check karo.",Roman Urdu,
outfit_recommendation,gown ke saath office meeting ke liye kya pehno?,linen ka co-ord set aur navy blue warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,picnic ke liye kya pehnon?,concert ke lye midi dress ya co-ord set aur halkay heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,cool-toned hoon to kaunse colors avoid karun?,"undertone ke mutabiq tones try karo, natural light mein check karo.",Roman Urdu,
outfit_recommendation,co-ord set ke saath mehndi ke liye kya pehno?,georgette ka shirt aur pastel pink warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,travel ke liye kya pehnon?,sports ke lye sporty-casual 'leggings/joggers aur trainers sahi rahenge. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,confident dikhne ke liye kya pehnon?,"acha fit aur colors jo tumhe suit karein, structured pieces aur comfortable shoes choose karo.",Roman Urdu,
outfit_recommendation,palazzo pants ke saath brunch mein kya pehno?,fitted top ya crop blouse wide-leg ke sath balance karega; wedges add karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,jumpsuit ke saath brunch ke liye kya pehno?,linen ka blazer aur black warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,gym ke liye outfit suggest karo.,bahar wala event he to layered aur breathable kapray lo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,what is 'al?zohaib textiles'known for and what is the typical price range?,"al?zohaib textiles: premium fabrics, eastern wear. typical price range 3,000-20,000.",Roman Urdu,
outfit_recommendation,"aaj dawat hai, kya pehnon?","breathable kapray aur halka jewelry choose karo, comfortable bhi rahega. comfortable bhi rahega.",Roman Urdu,
outfit_recommendation,co-ord set ke saath brunch ke liye kya pehno?,linen ka kurta aur lavender warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,presentation lights mein shiny skin avoid kaise karein?,polished outfit aur matte long-wear makeup shine kam karega.,Roman Urdu,
outfit_recommendation,co-ord set ke saath date night ke liye kya pehno?,cotton ka co-ord set aur black warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,kya aap haute couture by asma recommend karenge agar mujhe high-end bridal formal wear chahiye?,"main haute couture by asma recommend karunga agar aap high-end bridal formal wear dekh rahe hen. price generally 30,000-150,000 ke beech hoti he. yeh maqsad ke lye acha choice he.",Roman Urdu,
outfit_recommendation,"kya aap raaya recommend karenge agar mujhe women's pret, casual semi-formal chahiye?","main Raaya recommend karunga agar aap women's pret, casual semi-formal dekh rahe hen. price generally 2,500-8,000 ke beech hoti he. yeh maqsad ke lye acha choice he.",Roman Urdu,
outfit_recommendation,cold rainy day 'what layers to keep?,pick fabrics and layers suited to humidity/wind/cold and secure footwear.,Roman Urdu,
outfit_recommendation,how to hide acne aur dark circles with outfit/makeup?,"use colors that flatter your skin, brighter necklines, and concealer/setting powder to reduce camera-focus on skin issues.",Roman Urdu,
outfit_recommendation,"kya aap misha recommend karenge agar mujhe fusion wear, bridal semi-formal chahiye?","main misha recommend karunga agar aap fusion wear, bridal semi-formal dekh rahe hen. price generally 15,000-80,000 ke beech hoti he. yeh maqsad ke lye acha choice he.",Roman Urdu,
outfit_recommendation,laundry day pe kya pehnon jab zyada kapray gande hon?,simple aur comfortable set: old jeans clean tee ya easy-wash dress; accessories se neat laga sakte ho.,Roman Urdu,
outfit_recommendation,asifa nabeel ke baare mein batao 'kis style ke liye mashhoor hai aur qeemat kitni hoti hai?,"asifa nabeel: bridal couture. price generally 50,000-250,000 ke beech hoti he.",Roman Urdu,
outfit_recommendation,shirt ke saath dawaat ke liye kya pehno?,silk ka kurta aur black warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,city aur rural mein kapray kaise change karun?,location ke mutabiq fabrics aur footwear adapt karo'heat wale areas mein lightweight fabrics.,Roman Urdu,
outfit_recommendation,gown ke saath date night ke liye kya pehno?,chiffon ka blazer aur maroon warna ache lagenge. simple jhumkas aur heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,ayzel ke baare mein batao 'kis style ke liye mashhoor hai aur qeemat kitni hoti hai?,"ayzel: semi-formal pret, casual. price generally 3,000-8,000 ke beech hoti he.",Roman Urdu,
outfit_recommendation,laundry day emergency outfit tips?,easy-care basics ka capsule rakho emergencies ke lye.,Roman Urdu,
outfit_recommendation,mustard ke saath kaunse colors ache lagte hain?,mustard ko navy ya dark green ke sath pair karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,what footwear swaps keep outfits comfy for standing events?,"choose block heels, wedges aur stylish flats with good support; consider cushioned insoles.",Roman Urdu,
outfit_recommendation,"kya aap polo club recommend karenge agar mujhe western casuals, shirts leisure wear chahiye?","main polo club recommend karunga agar aap western casuals, shirts leisure wear dekh rahe hen. price generally 2,000-7,000 ke beech hoti he. yeh maqsad ke lye acha choice he.",Roman Urdu,
outfit_recommendation,startup interview mein kitna formal dikhna chahiye?,smart-casual; tailored lekin stiff na ho.,Roman Urdu,
outfit_recommendation,"aaj raat travel hai, koi outfit idea?",concert ke lye midi dress ya co-ord set aur halkay heels try karo. comfortable bhi rahega.,Roman Urdu,
outfit_recommendation,firdous ke baare mein batao 'kis style ke liye mashhoor hai aur qeemat kitni hoti hai?,"firdous: pret and formal, eastern fabrics. price generally 2,000-8,000 ke beech hoti he.",Roman Urdu,
outfit_recommendation,lan ke baare mein batao 'kis style ke liye mashhoor hai aur qeemat kitni hoti hai?,"lan: luxury bridal formal wear. price generally 30,000-150,000 ke beech hoti he.",Roman Urdu,
